,code,total_dur,dur_1,departure_1,arrival_1,carriercode_1,dep_date,transfer,dur_2,departure_2,arrival_2,carriercode_2,arr_date,bookable_seats,currency,total,dest,ontime_proba
18325,77W,0 days 11:00:00,0 days 11:00:00,LHR,,KE,2022-03-09,N,0 days 00:00:00,ICN,,,2022-03-09,9,EUR,912.04,ICN,0.80379337
18326,773,0 days 19:25:00,0 days 11:25:00,LHR,BKK,TG,2022-03-09,Y,0 days 07:05:00,BKK,ICN,TG,2022-03-10,9,EUR,1078.09,ICN,0.78138173
18327,77W,1 days 00:30:00,0 days 10:35:00,LHR,BKK,TG,2022-03-09,Y,0 days 05:25:00,BKK,ICN,TG,2022-03-10,9,EUR,1078.09,ICN,0.78138173
18328,773,1 days 10:05:00,0 days 14:50:00,LHR,BKK,TG,2022-03-09,Y,0 days 05:25:00,BKK,ICN,TG,2022-03-10,9,EUR,1097.79,ICN,0.78138173
18329,359,0 days 21:20:00,0 days 12:55:00,LHR,SIN,SQ,2022-03-09,Y,0 days 06:25:00,SIN,ICN,SQ,2022-03-10,9,EUR,1131.76,ICN,0.78138173
18330,77W,1 days 01:45:00,0 days 12:55:00,LHR,SIN,SQ,2022-03-09,Y,0 days 06:25:00,SIN,ICN,SQ,2022-03-11,9,EUR,1131.76,ICN,0.7784878
18331,359,1 days 03:15:00,0 days 12:55:00,LHR,SIN,SQ,2022-03-09,Y,0 days 06:25:00,SIN,ICN,SQ,2022-03-11,9,EUR,1131.76,ICN,0.7784878
18332,77W,1 days 12:55:00,0 days 12:55:00,LHR,SIN,SQ,2022-03-09,Y,0 days 06:25:00,SIN,ICN,SQ,2022-03-11,9,EUR,1131.76,ICN,0.7784878
18333,359,1 days 14:40:00,0 days 12:55:00,LHR,SIN,SQ,2022-03-09,Y,0 days 06:25:00,SIN,ICN,SQ,2022-03-11,9,EUR,1131.76,ICN,0.7784878
18334,788,0 days 21:55:00,0 days 11:55:00,LHR,NRT,JL,2022-03-09,Y,0 days 02:50:00,HND,ICN,JL,2022-03-10,9,EUR,2854.81,ICN,0.78138173
18335,788,0 days 18:05:00,0 days 11:40:00,LHR,NRT,JL,2022-03-09,Y,0 days 02:50:00,HND,ICN,JL,2022-03-10,9,EUR,2971.05,ICN,0.78138173
18336,789,0 days 23:25:00,0 days 07:55:00,LHR,YYZ,AC,2022-03-09,Y,0 days 13:40:00,YYZ,ICN,AC,2022-03-09,9,EUR,3142.24,ICN,0.80379337
18337,77W,0 days 17:10:00,0 days 12:05:00,LHR,HKG,CX,2022-03-09,Y,0 days 03:35:00,HKG,ICN,KE,2022-03-10,9,EUR,6344.93,ICN,0.78138173
18338,789,1 days 06:35:00,0 days 11:10:00,LHR,LAX,UA,2022-03-09,Y,0 days 13:20:00,LAX,ICN,UA,2022-03-09,4,EUR,6652.56,ICN,0.80379337
18339,333,0 days 14:15:00,0 days 03:50:00,LHR,SVO,SU,2022-03-10,Y,0 days 08:40:00,SVO,ICN,SU,2022-03-10,7,EUR,553.89,ICN,0.78138173
18340,777,0 days 18:10:00,0 days 06:40:00,LGW,DOH,QR,2022-03-10,Y,0 days 08:40:00,DOH,ICN,QR,2022-03-11,9,EUR,610.56,ICN,0.7784878
